BCP-47	docs (noisy)	docs (clean)	sents (noisy)	sents (clean)	toks (noisy)	toks (clean)	chars (noisy)	chars (clean)	clean	noisy
total*	7.2B	3.7B	133.1B	97.5B	4.6T	2.6T	30.6T	16.0T	11.4 T	6.3 T
en	3.0B	1.5B	71.1B	45.4B	2.0T	1.3T	12.3T	7.6T	2.6 T	4.3 T
ru	823M	402.5M	823M	12.4B	416.5B	240.9B	3.1T	1.8T	832.9 G	1.4 T
es	476.4M	250.9M	8.3B	4.5B	325.7B	170.4B	2.1T	1.1T	380.9 G	747.5 G
de	478.6M	225.1M	11.5B	6B	299.5B	139.6B	2.2T	1T	370.6 G	815.5 G
fr	384.2M	218.9M	7.9B	5B	307.1B	165.2B	2T	1T	370.4 G	699.1 G
it	238.9M	126.4M	4.5B	2.5B	180.1B	83.6B	1.2T	553.1B	198.4 G	429.6 G
pt	209.2M	124.2M	4B	2.4B	123.2B	79.2B	791.5B	499.8B	183.1 G	289.6 G
pl	145.1M	90.9M	3.3B	2.4B	68.9B	49.2B	505B	356.4B	140.7 G	202.5 G
nl	134.5M	86.6M	134.5M	2.3B	104.4B	51.6B	698.5B	334.5B	118.2 G	247.5 G
tr	107M	56.4M	107M	1.2B	41.9B	25B	328.8B	198.9B	73.7 G	123.9 G
vi	92.8M	55M	1.6B	1B	71.5B	48.7B	342B	228.8B	88.8 G	133.9 G
cs	72.1M	38.3M	1.7B	1B	40.8B	22.1B	272.2B	147.9B	62.1 G	112.7 G
id	120.9M	38M	2.2B	747.5M	60.4B	20.2B	443B	148.3B	48.5 G	148.7 G
ro	60.8M	35.4M	60.8M	746.4M	37.1B	22.9B	244.1B	148.2B	55.5 G	90.3 G
sv	65.2M	35.2M	65.2M	1B	62.1B	23.9B	422.6B	153.7B	57.0 G	149.9 G
hu	47.6M	29.7M	1.3B	806.3M	29.8B	17.8B	223.6B	134.9B	53.5 G	86.8 G
uk	46.6M	25M	1B	599.9M	21.6B	12.8B	164.2B	95.2B	45.1 G	75.8 G
fa	58.1M	23.1M	920.6M	493.5M	40.6B	18.4B	220.4B	96.7B	43.4 G	97.4 G
ja	23.3M	21.8M	326M	321.6M	10.9B	10.9B	133.3B	132.2B	98.7 G	99.7 G
el	52.4M	20.9M	808M	445.4M	25B	12B	173.2B	80.9B	37.9 G	80.8 G
fi	35.8M	20.4M	1B	650.3M	23.8B	11.5B	202.2B	101.1B	37.6 G	74.1 G
zh	29.3M	19.9M	492.3M	298.8M	19.2B	10B	333B	142.3B	109.9 G	191.8 G
da	38.5M	17.9M	1.1B	508M	37.7B	13B	252B	83.1B	29.4 G	89.5 G
th	19M	17.4M	19M	385.8M	8.9B	8.9B	118.6B	117.6B	57.6 G	58.2 G
no	34.7M	14.9M	34.7M	498.7M	46.6B	11.8B	305.6B	74.8B	27.3 G	109.8 G
bg	27.2M	12.8M	599.4M	360.3M	14.4B	8.8B	95.6B	57.8B	26.0 G	42.8 G
ko	19.7M	12.7M	628.6M	471.8M	13.3B	9.3B	65.9B	43.8B	34.2 G	49.1 G
ar	67.6M	12.4M	876.6M	182.6M	39B	7.1B	243B	43.2B	20.9 G	115.9 G
sk	23.2M	11.9M	487.9M	300.6M	11.3B	6.7B	77.8B	45.7B	18.8 G	31.9 G
ca	17.9M	9.5M	258.6M	153M	8.9B	5.6B	56.5B	34.6B	12.6 G	20.8 G
lt	15.3M	8.7M	374M	256.9M	7.5B	5.3B	58.6B	41.3B	15.7 G	22.3 G
he	14.1M	7.2M	302.2M	196.8M	9.2B	5.2B	54.9B	30.5B	14.8 G	26.3 G
sl	12M	6.3M	316M	180M	6.9B	4.5B	47.8B	30.5B	11.5 G	18.0 G
